year_month,year,month,n_immigration,n_espana,salience_score,imm_volume_norm
2023-11-01,2023,11,51,0,100,24.5
2023-12-01,2023,12,73,0,100,35.1
2024-01-01,2024,1,105,0,100,50.5
2024-02-01,2024,2,56,0,100,26.9
2024-03-01,2024,3,57,0,100,27.4
2024-04-01,2024,4,64,0,100,30.8
2024-05-01,2024,5,87,0,100,41.8
2024-06-01,2024,6,93,0,100,44.7
2024-07-01,2024,7,157,0,100,75.5
2024-08-01,2024,8,88,0,100,42.3
2024-09-01,2024,9,191,0,100,91.8
2024-10-01,2024,10,177,0,100,85.1
2024-11-01,2024,11,92,0,100,44.2
2024-12-01,2024,12,109,0,100,52.4
2025-01-01,2025,1,134,0,100,64.4
2025-02-01,2025,2,146,0,100,70.2
2025-03-01,2025,3,185,0,100,88.9
2025-04-01,2025,4,153,0,100,73.6
2025-05-01,2025,5,167,0,100,80.3
2025-06-01,2025,6,172,0,100,82.7
2025-07-01,2025,7,208,0,100,100
2025-08-01,2025,8,152,0,100,73.1
2025-09-01,2025,9,178,0,100,85.6
2025-10-01,2025,10,149,0,100,71.6
2025-11-01,2025,11,97,0,100,46.6
2025-12-01,2025,12,129,0,100,62
2026-01-01,2026,1,198,0,100,95.2
2026-02-01,2026,2,166,0,100,79.8
