province,year,indicator,value
Albacete,2022,unemployment_rate,12.8475
Albacete,2023,unemployment_rate,11.9575
Albacete,2024,unemployment_rate,11.315
Albacete,2025,unemployment_rate,11.3125
Alicante/Alacant,2022,unemployment_rate,14.645
Alicante/Alacant,2023,unemployment_rate,13.3925
Alicante/Alacant,2024,unemployment_rate,13.64
Alicante/Alacant,2025,unemployment_rate,12.5075
Almería,2022,unemployment_rate,17.15
Almería,2023,unemployment_rate,15.9725
Almería,2024,unemployment_rate,15.285
Almería,2025,unemployment_rate,13.8625
Araba/Álava,2022,unemployment_rate,9.19
Araba/Álava,2023,unemployment_rate,7.2025
Araba/Álava,2024,unemployment_rate,8.5675
Araba/Álava,2025,unemployment_rate,7.1975
Asturias,2022,unemployment_rate,12.5125
Asturias,2023,unemployment_rate,12.1225
Asturias,2024,unemployment_rate,10.135
Asturias,2025,unemployment_rate,8.8325
Badajoz,2022,unemployment_rate,17.6225
Badajoz,2023,unemployment_rate,18.675
Badajoz,2024,unemployment_rate,15.395
Badajoz,2025,unemployment_rate,14.38
"Balears, Illes",2022,unemployment_rate,10.735
"Balears, Illes",2023,unemployment_rate,10.48
"Balears, Illes",2024,unemployment_rate,9.45
"Balears, Illes",2025,unemployment_rate,8.94
Barcelona,2022,unemployment_rate,9.925
Barcelona,2023,unemployment_rate,9.120000000000001
Barcelona,2024,unemployment_rate,8.4525
Barcelona,2025,unemployment_rate,8.195
Bizkaia,2022,unemployment_rate,9.41
Bizkaia,2023,unemployment_rate,8.05
Bizkaia,2024,unemployment_rate,8.98
Bizkaia,2025,unemployment_rate,7.7575
Burgos,2022,unemployment_rate,8.555
Burgos,2023,unemployment_rate,7.717499999999999
Burgos,2024,unemployment_rate,6.9275
Burgos,2025,unemployment_rate,7.6025
Cantabria,2022,unemployment_rate,9.575
Cantabria,2023,unemployment_rate,8.1425
Cantabria,2024,unemployment_rate,7.8475
Cantabria,2025,unemployment_rate,7.3375
Castellón/Castelló,2022,unemployment_rate,12.1875
Castellón/Castelló,2023,unemployment_rate,14.7575
Castellón/Castelló,2024,unemployment_rate,13.6525
Castellón/Castelló,2025,unemployment_rate,11.1175
Ceuta,2022,unemployment_rate,29.8525
Ceuta,2023,unemployment_rate,29.98
Ceuta,2024,unemployment_rate,27.4075
Ceuta,2025,unemployment_rate,24.3575
Ciudad Real,2022,unemployment_rate,19.355
Ciudad Real,2023,unemployment_rate,16.475
Ciudad Real,2024,unemployment_rate,16.9225
Ciudad Real,2025,unemployment_rate,15.235
"Coruña, A",2022,unemployment_rate,10.1
"Coruña, A",2023,unemployment_rate,9.1025
"Coruña, A",2024,unemployment_rate,7.98
"Coruña, A",2025,unemployment_rate,7.2125
Cuenca,2022,unemployment_rate,9.6075
Cuenca,2023,unemployment_rate,11.4075
Cuenca,2024,unemployment_rate,10.495
Cuenca,2025,unemployment_rate,10.4175
Cáceres,2022,unemployment_rate,16.7775
Cáceres,2023,unemployment_rate,14.94
Cáceres,2024,unemployment_rate,15.7125
Cáceres,2025,unemployment_rate,15.4375
Cádiz,2022,unemployment_rate,23.4675
Cádiz,2023,unemployment_rate,22.255
Cádiz,2024,unemployment_rate,20.9725
Cádiz,2025,unemployment_rate,18.725
Córdoba,2022,unemployment_rate,19.4175
Córdoba,2023,unemployment_rate,18.4075
Córdoba,2024,unemployment_rate,16.6175
Córdoba,2025,unemployment_rate,17.3
Gipuzkoa,2022,unemployment_rate,7.87
Gipuzkoa,2023,unemployment_rate,7.465
Gipuzkoa,2024,unemployment_rate,6.3575
Gipuzkoa,2025,unemployment_rate,6.6425
Girona,2022,unemployment_rate,8.9575
Girona,2023,unemployment_rate,9.9575
Girona,2024,unemployment_rate,9.467500000000001
Girona,2025,unemployment_rate,8.3725
Granada,2022,unemployment_rate,20.9575
Granada,2023,unemployment_rate,20.5075
Granada,2024,unemployment_rate,21.435
Granada,2025,unemployment_rate,18.5
Guadalajara,2022,unemployment_rate,11.1725
Guadalajara,2023,unemployment_rate,9.865
Guadalajara,2024,unemployment_rate,10.875
Guadalajara,2025,unemployment_rate,10.497499999999999
Huelva,2022,unemployment_rate,17.494999999999997
Huelva,2023,unemployment_rate,18.3275
Huelva,2024,unemployment_rate,15.125
Huelva,2025,unemployment_rate,13.1625
Huesca,2022,unemployment_rate,9.42
Huesca,2023,unemployment_rate,8.4475
Huesca,2024,unemployment_rate,9.129999999999999
Huesca,2025,unemployment_rate,6.6825
Jaén,2022,unemployment_rate,18.975
Jaén,2023,unemployment_rate,18.4725
Jaén,2024,unemployment_rate,19.335
Jaén,2025,unemployment_rate,15.9025
León,2022,unemployment_rate,10.629999999999999
León,2023,unemployment_rate,10.1325
León,2024,unemployment_rate,9.6125
León,2025,unemployment_rate,10.155
Lleida,2022,unemployment_rate,9.995000000000001
Lleida,2023,unemployment_rate,7.592499999999999
Lleida,2024,unemployment_rate,6.635
Lleida,2025,unemployment_rate,5.2
Lugo,2022,unemployment_rate,9.125
Lugo,2023,unemployment_rate,8.22
Lugo,2024,unemployment_rate,7.09
Lugo,2025,unemployment_rate,6.3225
