province,year,unemployment_rate,n_quarters
Albacete,2022,12.8475,4
Albacete,2023,11.9575,4
Albacete,2024,11.315,4
Albacete,2025,11.3125,4
Alicante/Alacant,2022,14.645,4
Alicante/Alacant,2023,13.3925,4
Alicante/Alacant,2024,13.64,4
Alicante/Alacant,2025,12.5075,4
Almería,2022,17.15,4
Almería,2023,15.9725,4
Almería,2024,15.285,4
Almería,2025,13.8625,4
Araba/Álava,2022,9.19,4
Araba/Álava,2023,7.2025,4
Araba/Álava,2024,8.5675,4
Araba/Álava,2025,7.1975,4
Asturias,2022,12.5125,4
Asturias,2023,12.1225,4
Asturias,2024,10.135,4
Asturias,2025,8.8325,4
Badajoz,2022,17.6225,4
Badajoz,2023,18.675,4
Badajoz,2024,15.395,4
Badajoz,2025,14.38,4
"Balears, Illes",2022,10.735,4
"Balears, Illes",2023,10.48,4
"Balears, Illes",2024,9.45,4
"Balears, Illes",2025,8.94,4
Barcelona,2022,9.925,4
Barcelona,2023,9.120000000000001,4
Barcelona,2024,8.4525,4
Barcelona,2025,8.195,4
Bizkaia,2022,9.41,4
Bizkaia,2023,8.05,4
Bizkaia,2024,8.98,4
Bizkaia,2025,7.7575,4
Burgos,2022,8.555,4
Burgos,2023,7.717499999999999,4
Burgos,2024,6.9275,4
Burgos,2025,7.6025,4
Cantabria,2022,9.575,4
Cantabria,2023,8.1425,4
Cantabria,2024,7.8475,4
Cantabria,2025,7.3375,4
Castellón/Castelló,2022,12.1875,4
Castellón/Castelló,2023,14.7575,4
Castellón/Castelló,2024,13.6525,4
Castellón/Castelló,2025,11.1175,4
Ceuta,2022,29.8525,4
Ceuta,2023,29.98,4
Ceuta,2024,27.4075,4
Ceuta,2025,24.3575,4
Ciudad Real,2022,19.355,4
Ciudad Real,2023,16.475,4
Ciudad Real,2024,16.9225,4
Ciudad Real,2025,15.235,4
"Coruña, A",2022,10.1,4
"Coruña, A",2023,9.1025,4
"Coruña, A",2024,7.98,4
"Coruña, A",2025,7.2125,4
Cuenca,2022,9.6075,4
Cuenca,2023,11.4075,4
Cuenca,2024,10.495,4
Cuenca,2025,10.4175,4
Cáceres,2022,16.7775,4
Cáceres,2023,14.94,4
Cáceres,2024,15.7125,4
Cáceres,2025,15.4375,4
