province,fk_periodo,year,quarter,date,unemployment_rate
NA,22,2025,4,2025-12-01,9.93
NA,21,2025,3,2025-09-01,10.45
NA,20,2025,2,2025-06-01,10.29
NA,19,2025,1,2025-03-01,11.36
NA,22,2024,4,2024-12-01,10.61
NA,21,2024,3,2024-09-01,11.21
NA,20,2024,2,2024-06-01,11.27
NA,19,2024,1,2024-03-01,12.29
NA,22,2023,4,2023-12-01,11.8
NA,21,2023,3,2023-09-01,11.89
NA,20,2023,2,2023-06-01,11.67
NA,19,2023,1,2023-03-01,13.38
NA,22,2022,4,2022-12-01,12.99
NA,21,2022,3,2022-09-01,12.73
NA,20,2022,2,2022-06-01,12.69
NA,19,2022,1,2022-03-01,13.73
NA,22,2021,4,2021-12-01,13.44
NA,21,2021,3,2021-09-01,14.71
NA,20,2021,2,2021-06-01,15.39
NA,19,2021,1,2021-03-01,16.14
Albacete,22,2025,4,2025-12-01,10.19
Albacete,21,2025,3,2025-09-01,10.94
Albacete,20,2025,2,2025-06-01,11.94
Albacete,19,2025,1,2025-03-01,12.18
Albacete,22,2024,4,2024-12-01,11.37
Albacete,21,2024,3,2024-09-01,9.92
Albacete,20,2024,2,2024-06-01,10.74
Albacete,19,2024,1,2024-03-01,13.23
Albacete,22,2023,4,2023-12-01,12.09
Albacete,21,2023,3,2023-09-01,9.11
Albacete,20,2023,2,2023-06-01,12.74
Albacete,19,2023,1,2023-03-01,13.89
Albacete,22,2022,4,2022-12-01,11.11
Albacete,21,2022,3,2022-09-01,11.01
Albacete,20,2022,2,2022-06-01,12.65
Albacete,19,2022,1,2022-03-01,16.62
Albacete,22,2021,4,2021-12-01,12.02
Albacete,21,2021,3,2021-09-01,15.67
Albacete,20,2021,2,2021-06-01,14.49
Albacete,19,2021,1,2021-03-01,19.93
Alicante/Alacant,22,2025,4,2025-12-01,10.29
Alicante/Alacant,21,2025,3,2025-09-01,12.05
Alicante/Alacant,20,2025,2,2025-06-01,12.18
Alicante/Alacant,19,2025,1,2025-03-01,15.51
Alicante/Alacant,22,2024,4,2024-12-01,13.31
Alicante/Alacant,21,2024,3,2024-09-01,13.77
Alicante/Alacant,20,2024,2,2024-06-01,13.11
Alicante/Alacant,19,2024,1,2024-03-01,14.37
Alicante/Alacant,22,2023,4,2023-12-01,13.33
Alicante/Alacant,21,2023,3,2023-09-01,11.6
Alicante/Alacant,20,2023,2,2023-06-01,12.74
Alicante/Alacant,19,2023,1,2023-03-01,15.9
Alicante/Alacant,22,2022,4,2022-12-01,15.57
Alicante/Alacant,21,2022,3,2022-09-01,13.65
Alicante/Alacant,20,2022,2,2022-06-01,14.39
Alicante/Alacant,19,2022,1,2022-03-01,14.97
Alicante/Alacant,22,2021,4,2021-12-01,18.91
Alicante/Alacant,21,2021,3,2021-09-01,18.49
Alicante/Alacant,20,2021,2,2021-06-01,18.24
Alicante/Alacant,19,2021,1,2021-03-01,19.18
Almería,22,2025,4,2025-12-01,14.76
Almería,21,2025,3,2025-09-01,14.81
Almería,20,2025,2,2025-06-01,13.45
Almería,19,2025,1,2025-03-01,12.43
Almería,22,2024,4,2024-12-01,14.83
Almería,21,2024,3,2024-09-01,16.22
Almería,20,2024,2,2024-06-01,14.19
Almería,19,2024,1,2024-03-01,15.9
Almería,22,2023,4,2023-12-01,14.58
Almería,21,2023,3,2023-09-01,19.86
Almería,20,2023,2,2023-06-01,16.58
Almería,19,2023,1,2023-03-01,12.87
Almería,22,2022,4,2022-12-01,16.36
Almería,21,2022,3,2022-09-01,20.52
Almería,20,2022,2,2022-06-01,15.54
Almería,19,2022,1,2022-03-01,16.18
Almería,22,2021,4,2021-12-01,15.86
Almería,21,2021,3,2021-09-01,21.67
Almería,20,2021,2,2021-06-01,21.96
Almería,19,2021,1,2021-03-01,17.53
Araba/Álava,22,2025,4,2025-12-01,7.58
Araba/Álava,21,2025,3,2025-09-01,7.74
Araba/Álava,20,2025,2,2025-06-01,6.88
Araba/Álava,19,2025,1,2025-03-01,6.59
Araba/Álava,22,2024,4,2024-12-01,7.79
Araba/Álava,21,2024,3,2024-09-01,9.4
Araba/Álava,20,2024,2,2024-06-01,8.28
Araba/Álava,19,2024,1,2024-03-01,8.8
Araba/Álava,22,2023,4,2023-12-01,5.26
Araba/Álava,21,2023,3,2023-09-01,9.7
Araba/Álava,20,2023,2,2023-06-01,7.18
Araba/Álava,19,2023,1,2023-03-01,6.67
Araba/Álava,22,2022,4,2022-12-01,7.87
Araba/Álava,21,2022,3,2022-09-01,9.01
Araba/Álava,20,2022,2,2022-06-01,9.67
Araba/Álava,19,2022,1,2022-03-01,10.21
Araba/Álava,22,2021,4,2021-12-01,9.48
Araba/Álava,21,2021,3,2021-09-01,12.3
Araba/Álava,20,2021,2,2021-06-01,10.92
Araba/Álava,19,2021,1,2021-03-01,12.76
Asturias,22,2025,4,2025-12-01,8.42
Asturias,21,2025,3,2025-09-01,9.03
Asturias,20,2025,2,2025-06-01,8.57
Asturias,19,2025,1,2025-03-01,9.31
Asturias,22,2024,4,2024-12-01,8.09
Asturias,21,2024,3,2024-09-01,9.26
Asturias,20,2024,2,2024-06-01,11.79
Asturias,19,2024,1,2024-03-01,11.4
Asturias,22,2023,4,2023-12-01,11.62
Asturias,21,2023,3,2023-09-01,13.39
Asturias,20,2023,2,2023-06-01,10.38
Asturias,19,2023,1,2023-03-01,13.1
Asturias,22,2022,4,2022-12-01,14.18
Asturias,21,2022,3,2022-09-01,12.59
Asturias,20,2022,2,2022-06-01,11.6
Asturias,19,2022,1,2022-03-01,11.68
Asturias,22,2021,4,2021-12-01,10.1
Asturias,21,2021,3,2021-09-01,12.09
Asturias,20,2021,2,2021-06-01,13.42
Asturias,19,2021,1,2021-03-01,13.73
Ávila,22,2025,4,2025-12-01,8.2
Ávila,21,2025,3,2025-09-01,7.08
Ávila,20,2025,2,2025-06-01,11.89
Ávila,19,2025,1,2025-03-01,8.35
Ávila,22,2024,4,2024-12-01,9.47
Ávila,21,2024,3,2024-09-01,11.18
Ávila,20,2024,2,2024-06-01,10.31
Ávila,19,2024,1,2024-03-01,13.61
Ávila,22,2023,4,2023-12-01,11.27
Ávila,21,2023,3,2023-09-01,10.51
Ávila,20,2023,2,2023-06-01,11.91
Ávila,19,2023,1,2023-03-01,12.85
Ávila,22,2022,4,2022-12-01,11.39
Ávila,21,2022,3,2022-09-01,13.81
Ávila,20,2022,2,2022-06-01,15.2
Ávila,19,2022,1,2022-03-01,15.34
Ávila,22,2021,4,2021-12-01,15.66
Ávila,21,2021,3,2021-09-01,11.73
Ávila,20,2021,2,2021-06-01,18.5
Ávila,19,2021,1,2021-03-01,16.07
